07KSC,SECUNDARIA,FEDERAL,SECUNDARIA COMUNITARIA FEDERAL,SECUNDARIA COMUNITARIA FEDERAL
07KTV,SECUNDARIA,FEDERAL,SECUNDARIA COMUNITARIA FEDERAL TELE,SECUNDARIA COMUNITARIA FEDERAL TELE
07EES,SECUNDARIA,ESTATAL,SECUNDARIA GENERAL ESTATAL,SECUNDARIA GENERAL ESTATAL
07DES,SECUNDARIA,FEDERAL,SECUNDARIA GENERAL FEDERAL TRANSFERIDO,SECUNDARIA GENERAL FEDERAL TRANSFERIDO
07PES,SECUNDARIA,PARTICULAR,SECUNDARIA GENERAL PARTICULAR,SECUNDARIA GENERAL PARTICULAR
07DSN,SECUNDARIA,FEDERAL,SECUNDARIA PARA TRABAJADORES FEDERAL TRANSFERIDO,SECUNDARIA PARA TRABAJADORES FEDERAL TRANSFERIDO
07DST,SECUNDARIA,FEDERAL,SECUNDARIA TECNICA AGROPECUARIA FEDERAL TRANSFERIDO,SECUNDARIA TECNICA FEDERAL 
07DPT,PROFESIONAL MEDIO,ESTATAL,TECNICO MEDIO CONALEP ESTATAL,TECNICO MEDIO CONALEP ESTATAL
07EET,PROFESIONAL MEDIO,ESTATAL,TECNICO MEDIO OTROS ESTATAL,TECNICO MEDIO OTROS ESTATAL
07ETH,BACHILLERATO,ESTATAL,TELEBACHILLERATO ESTATAL,TELEBACHILLERATO ESTATAL
07ETK,BACHILLERATO,ESTATAL,TELEBACHILLERATO ESTATAL COMUNITARIO,TELEBACHILLERATO ESTATAL COMUNITARIO
07ETV,SECUNDARIA,ESTATAL,TELESECUNDARIA ESTATAL,TELESECUNDARIA ESTATAL
07HMC,MISIONES CULTURALES,FEDERAL,MISIONES CULTURALES,MISIONES CULTURALES
07USU,UNIVERSITARIO Y TECNOLOGICO,,UNIVERSIDAD AUTONOMA DE CHIAPAS,NIVEL SUPERIOR
07ESU,UNIVERSITARIO Y TECNOLOGICO,,UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS,NIVEL SUPERIOR
07DSU,UNIVERSITARIO Y TECNOLOGICO,,UNIVERSIDAD EN ANTROPOLOGIA SOCIAL,NIVEL SUPERIOR
07EIU,UNIVERSITARIO Y TECNOLOGICO,,UNIVERSIDAD INTERCULTURAL DE CHIAPAS,NIVEL SUPERIOR
07DUP,UNIVERSITARIO Y TECNOLOGICO,,UNIVERSIDAD PEDAGOGICA NACIONAL,NIVEL SUPERIOR
07EPO,UNIVERSITARIO Y TECNOLOGICO,,UNIVERSIDAD POLITÉCNICA DE CHIAPAS,NIVEL SUPERIOR
07EUT,UNIVERSITARIO Y TECNOLOGICO,,UNIVERSIDAD TECNOLOGICA DE LA SELVA,NIVEL SUPERIOR
07DIT,UNIVERSITARIO Y TECNOLOGICO,,UNIVERSIDAD TECNOLOGICA FEDERAL,NIVEL SUPERIOR
07PSU,UNIVERSITARIO Y TECNOLOGICO,,UNIVERSIDAD Y TECNOLOGICA PARTICULAR,NIVEL SUPERIOR
07FEI,EXTRAESCOLAR,FEDERAL,EXTRAESCOLAR,EXTRAESCOLAR
07FDC,ESPECIAL,FEDERAL,,EDUCACION ESPECIAL - UNIDAD DE ATENCIÓN AL PUBLICO 
